tag,tree,transport,mode,workers,per_worker_qd,aggregate_qd,fua,variant,cohort,observed_cohorts,cohort_complete,repeat,ops_per_sec,latency_avg_us,latency_p50_us,latency_p95_us,latency_p99_us,cpu_ns_per_op,reported_completion,completion_semantic,source
current-nvmet-read-w1-qd16,current,nvme-tcp,read,1,16,16,false,curve,1,1,true,1,82814,192.36,135.0,247.0,3000.0,8832.9,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd16/results.log
current-nvmet-read-w1-qd16,current,nvme-tcp,read,1,16,16,false,curve,1,1,true,2,82018,194.232,135.0,247.0,3000.0,8949.0,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd16/results.log
current-nvmet-read-w1-qd16,current,nvme-tcp,read,1,16,16,false,curve,1,1,true,3,81632,195.155,135.0,248.0,3000.0,9018.3,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd16/results.log
current-nvmet-read-w1-qd16,current,nvme-tcp,read,1,16,16,false,curve,1,1,true,4,83236,191.371,136.0,246.0,3000.0,8764.4,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd16/results.log
current-nvmet-read-w1-qd2,current,nvme-tcp,read,1,2,2,false,curve,1,1,true,1,38134,52.364,45.0,55.0,63.0,21698.5,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd2/results.log
current-nvmet-read-w1-qd2,current,nvme-tcp,read,1,2,2,false,curve,1,1,true,2,38018,52.521,45.0,54.0,63.0,21806.6,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd2/results.log
current-nvmet-read-w1-qd2,current,nvme-tcp,read,1,2,2,false,curve,1,1,true,3,37712,52.947,45.0,55.0,63.0,21999.6,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd2/results.log
current-nvmet-read-w1-qd2,current,nvme-tcp,read,1,2,2,false,curve,1,1,true,4,38221,52.244,45.0,54.0,63.0,21648.5,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd2/results.log
current-nvmet-read-w1-qd4,current,nvme-tcp,read,1,4,4,false,curve,1,1,true,1,65279,61.152,46.0,63.0,75.0,10890.8,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd4/results.log
current-nvmet-read-w1-qd4,current,nvme-tcp,read,1,4,4,false,curve,1,1,true,2,66231,60.271,46.0,63.0,75.0,10766.3,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd4/results.log
current-nvmet-read-w1-qd4,current,nvme-tcp,read,1,4,4,false,curve,1,1,true,3,65792,60.661,46.0,63.0,75.0,10866.6,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd4/results.log
current-nvmet-read-w1-qd4,current,nvme-tcp,read,1,4,4,false,curve,1,1,true,4,64747,61.655,46.0,63.0,75.0,11074.9,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd4/results.log
current-nvmet-read-w1-qd8,current,nvme-tcp,read,1,8,8,false,curve,1,1,true,1,64394,123.827,97.0,103.0,2000.0,12090.5,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd8/results.log
current-nvmet-read-w1-qd8,current,nvme-tcp,read,1,8,8,false,curve,1,1,true,2,63711,125.155,97.0,105.0,2000.0,12248.2,ordinary-device-ack,remote-nvme-command-target-page-cache-admission,/home/rob/zcutils/bench-results/zcutils-blockmatrix-adhoc-c8gn16-20260811T121140Z/client-node/nvmet/runs/current-nvmet-read-w1-qd8/results.log
