[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 2009: was 0x00000000fef37930
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.Cloneable; archived mirror 0x00000000fef37930
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 38: was 0x00000000fef01218
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ClassLoader archived mirror 0x00000000fef01218
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 39: was 0x00000000fef01298
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 542: was 0x00000000fef0ed88
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.ClassLoader; archived mirror 0x00000000fef0ed88
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 15: was 0x00000000fef00770
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.System archived mirror 0x00000000fef00770
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 16: was 0x00000000fef00810
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 36: was 0x00000000fef01118
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.Throwable archived mirror 0x00000000fef01118
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 37: was 0x00000000fef011b8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 435: was 0x00000000fef0c288
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.Throwable; archived mirror 0x00000000fef0c288
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 164: was 0x00000000fef04660
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.Error archived mirror 0x00000000fef04660
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 740: was 0x00000000fef14578
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.lang.Error; archived mirror 0x00000000fef14578
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 40: was 0x00000000fef01350
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.ThreadDeath archived mirror 0x00000000fef01350
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 162: was 0x00000000fef04570
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.Exception archived mirror 0x00000000fef04570
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 163: was 0x00000000fef045e8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.RuntimeException archived mirror 0x00000000fef045e8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 98: was 0x00000000fef02a38
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.lang.SecurityManager archived mirror 0x00000000fef02a38
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 99: was 0x00000000fef02ac8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 106: was 0x00000000fef02e10
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.security.ProtectionDomain archived mirror 0x00000000fef02e10
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 107: was 0x00000000fef02e88
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 241: was 0x00000000fef068d0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored [Ljava.security.ProtectionDomain; archived mirror 0x00000000fef068d0
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 100: was 0x00000000fef02be8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.security.AccessControlContext archived mirror 0x00000000fef02be8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 101: was 0x00000000fef02c60
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][debug] Clearing root 102: was 0x00000000fef02ca8
[2026-08-08T11:30:47.710-0400][0.120s][2871666][2871784][trace] Restored java.security.AccessController archived mirror 0x00000000fef02ca8
